-1221, 115, 541
-1195, 87, 542
-1195, 87, 542
-1149, 64, 533
-1059, 85, 468
-948, 128, 441
-894, 152, 412
-869, 125, 336
-844, 92, 265
-792, 32, 234
-792, 32, 234
-748, -9, 219
-717, -4, 219
-677, 13, 225
-655, 7, 214
-655, 7, 214
-644, -15, 172
-647, -29, 171
-,-,-
-1667, 26, 584
-1577, 126, 694
-1472, 171, 758
-1361, 170, 744
-1248, 177, 676
-1166, 146, 604
-1116, 102, 538
-1081, 56, 483
-1043, 38, 457
-1006, 60, 463
-985, 70, 493
-985, 70, 493
-948, 66, 455
-932, 52, 384
-925, 53, 332
-924, 39, 322
-904, 57, 303
-904, 57, 303
-877, 59, 262
-851, 65, 221
-826, 56, 199
-807, 12, 183
-784, -2, 152
-784, -2, 152
-718, -5, 163
-,-,-
-1421, 185, 700
-1447, 192, 682
-1415, 167, 636
-1332, 162, 654
-1255, 172, 688
-1218, 150, 684
-1187, 131, 657
-1148, 117, 600
-1110, 83, 519
-1110, 83, 519
-1084, 40, 494
-1062, 53, 471
-1025, 80, 438
-1004, 90, 439
-1009, 82, 417
-1010, 86, 398
-1014, 90, 366
-1045, 66, 329
-1045, 66, 329
-1047, 51, 319
-1009, 51, 295
-951, 85, 254
-869, 88, 249
-752, 55, 246
-674, 36, 243
-,-,-
-1283, 248, 619
-1409, 202, 685
-1529, 131, 737
-1598, 139, 761
-1601, 145, 794
-1562, 158, 851
-1505, 153, 875
-1415, 143, 835
-1321, 124, 764
-1256, 98, 670
-1198, 64, 595
-1125, 65, 574
-1125, 65, 574
-1041, 95, 561
-974, 141, 536
-948, 126, 519
-917, 64, 504
-865, 70, 489
-837, 86, 457
-837, 86, 457
-806, 75, 375
-771, 33, 308
-732, 18, 295
-690, 44, 293
-675, 26, 304
-675, 26, 304
-637, 1, 308
-571, 7, 314
-,-,-
-1204, 136, 444
-1254, 173, 408
-1308, 80, 404
-1343, 67, 423
-1330, 68, 437
-1310, 109, 483
-1301, 179, 548
-1301, 179, 548
-1340, 210, 566
-1426, 186, 568
-1503, 169, 568
-1539, 155, 573
-1507, 172, 578
-1416, 186, 589
-1342, 183, 595
-1293, 152, 566
-1235, 110, 521
-1163, 93, 458
-1106, 72, 390
-1041, 50, 346
-979, 44, 335
-979, 44, 335
-907, 70, 359
-819, 108, 363
-781, 81, 309
-735, 23, 259
-666, 13, 223
-666, 13, 223
-613, 9, 178
-542, 0, 129
